+	tasɯ
ホメオパシー	homeopaɕiː
ホメオパス	homeopasɯ
ホメオパチー	homeopatɕiː
ホメオパティー	homeopateiː
ホメオボックス	homeobokːɯsɯ
ホメオーシス	homeoːɕisɯ
ホメパゲ	ho me pa ge
ホメパゲ	homepage
ホモ	ho mo
ホモ	homo
ホモっぽい	homopːoi
ホモエコノミクス	homoekonomikɯsɯ
ホモエレクトゥス	homoeɾekɯtɯsɯ
ホモエレクトス	homoeɾekɯtosɯ
ホモカリオン	homokaɾioɴ
ホモゲナイズ	homogenaizɯ
ホモサピエンス	homosapieɴsɯ
ホモサピエンスイダルツ	homosapieɴsɯidaɾɯtsɯ
ホモサピエンスイダルトゥ	homosapieɴsɯidaɾɯtɯ
ホモシステイン	homoɕisɯteiɴ
ホモジナイズ	homodʑinaizɯ
ホモジニアスコンソリデーション	homodʑiniasɯkoɴsoɾideːɕoɴ
ホモジニアス・コンソリデーション	homodʑiniasɯ koɴsoɾideːɕoɴ
ホモセクシャル	homosekɯɕaɾɯ
ホモセクシュアリティ	homosekɯɕɯaɾitei
ホモセクシュアリティー	homosekɯɕɯaɾiteiː
ホモセクシュアル	homosekɯɕɯaɾɯ
ホモセクシュアル	ho̞monse̞kɯ̟ᵝɕɯ̟ᵝaɾɯ
ホモセックス	homosekːɯsɯ
ホモソーシャル	homosoːɕaɾɯ
ホモトピー	homotopiː
ホモニム	homonimɯ
ホモノ科	homonoka
ホモハビリス	homohabiɾisɯ
ホモバー	homobaː
ホモファベル	homoɸabeɾɯ
ホモファーベル	homoɸaːbeɾɯ
ホモフォニー	homoɸoniː
ホモフォビア	homoɸobia
ホモモーベンス	homomoːbeɴsɯ
ホモルーデンス	homoɾɯːdeɴsɯ
ホモロジー	homoɾodʑiː
ホモ・エコノミクス	homo ekonomikɯsɯ
ホモ・エレクトゥス	homo eɾekɯtɯsɯ
ホモ・エレクトス	homo eɾekɯtosɯ
ホモ・サピエンス	homo sapieɴsɯ
ホモ・サピエンス・イダルツ	homo sapieɴsɯ idaɾɯtsɯ
ホモ・サピエンス・イダルトゥ	homo sapieɴsɯ idaɾɯtɯ
ホモ・セックス	homo sekːɯsɯ
ホモ・ハビリス	homo habiɾisɯ
ホモ・バー	homo baː
ホモ・ファーベル	homo ɸaːbeɾɯ
ホモ・ルーデンス	homo ɾɯːdeɴsɯ
ホモ接合体	homosetsɯgoɯtai
ホモ接合型	homosetsɯgoɯgata
ホモ牛乳	homogjɯɯnjɯɯ
ホモ達	homodatɕi
ホヤ	hoja
ホヤ	hɔja
ホラ	hoɾa
ホラアナグマ	hoɾaanagɯma
ホライモリ	hoɾaimoɾi
ホラカントゥスバミューデンシス	hoɾakaɴtɯsɯbamjɯːdeɴɕisɯ
ホラカントゥス属	hoɾakaɴtɯsɯzokɯ
ホラガイ	hoɾagai
ホラント	hoɾaɴto
ホラー	hoɾaː
ホラー映画	hoɾaːeiga
ホラー映画を見ることに	horaː eːgao miru koto ni
ホラ貝を吹く	hoɾagaioɸɯkɯ
ホリスティック	hoɾisɯteikːɯ
ホリスティックヘルス	hoɾisɯteikːɯheɾɯsɯ
ホリスティック・ヘルス	hoɾisɯteikːɯ heɾɯsɯ
ホリスティック医学	hoɾisɯteikːɯigakɯ
ホリズム	hoɾizɯmɯ
ホリゾンタル	hoɾizoɴtaɾɯ
ホリゾント	hoɾizoɴto
ホリデイ	hoɾidei
ホリデー	hoɾideː
ホリネズミ	hoɾinezɯmi
ホリホック	hoɾihokːɯ
ホリー	hoɾiː
ホリー	ɦoːliː
ホルスタイン	hoɾɯsɯtaiɴ
ホルスタイン種	hoɾɯsɯtaiɴɕɯ
ホルスター	arstaː
ホルスター	hoɾɯsɯtaː
ホルストガエル	hoɾɯsɯtogaeɾɯ
ホルスト蛙	hoɾɯsɯtogaeɾɯ
ホルタートップ	hoɾɯtaːtopːɯ
ホルターネック	hoɾtaːmnekːɯ
ホルター・トップ	hoɾɯtaː topːɯ
ホルダー	hoɾɯdaː
ホルダー	hɔ̞ɾɯdaː
ホルド	hoɾɯdo
ホルマリン	hoɾɯmaɾiɴ
ホルマント	hoɾɯmaɴto
ホルマント	hoɾɯmaɴtoɯ
ホルミウム	hoɾɯmiɯmɯ
ホルミウム	hoɾɯmjɯmɯ
ホルミシス	hoɾɯmiɕisɯ
ホルム	hoɾɯmɯ
ホルムアルデヒド	hoɾɯmɯaɾɯdeçido
ホルモン	hoɾɯmoɴ
ホルモン剤	hoɾɯmoɴzai
ホルモン屋	hoɾɯmoɴja
ホルモン焼	hoɾɯmoɴjaki
ホルモン焼き	hoɾɯmoɴjaki
ホルモン療法	hoɾɯmoɴɾjoɯhoɯ
ホルモン補充療法	hoɾɯmoɴhodʑɯɯɾjoɯhoɯ
ホルン	hoɾɯɴ
ホルン	ɦoɾuŋ
ホルンフェルス	hoɾɯɴɸɯeɾɯsɯ
ホレホレチョコレート	koɾe hoɾe tɕokoɾeːto
ホログラフィ	hoɾogɯɾaɸi
ホログラフィック	hoɾogɯɾaɸikːɯ
ホログラフィー	hoɾogɯɾaɸiː
ホログラム	hoɾogɯɾamɯ
ホロコースト	hoɾokoːsɯto
ホロコースト	ho̞ɾokoːsɯto
ホロス	hoɾosɯ
ホロスコープ	hoɾosɯkoːpɯ
ホロスコープ	ho̞ɾosɯkoːɯ
ホロドモール	hoɾdm ɯ
ホロホロ鳥	hoɾohoɾotɕoɯ
ホロムイソウ	oɾomɯisɯ
ホローバック	hoɾoːbakːɯ
ホローポイント弾	hoɾoːpoiɴtodaɴ
ホロー・バック	hoɾoː bakːɯ
ホロ苦い	hoɾonigai
ホワイ	hoɰᵝai
ホワイエ	hoɰᵝaie
ホワイティング	hoɰᵝaiteiɴgɯ
ホワイト	hoɰᵝaito
ホワイトアウト	hoɰᵝaitoaɯto
ホワイトアウト	oɰᵝaitoaɯto
ホワイトアスパラガス	hoɰᵝaitoasɯpaɾagasɯ
ホワイトカソリン	hoɰᵝaitokasoɾiɴ
ホワイトカラー	hoɰᵝaitokaɾaː
ホワイトキック	hoɰᵝaitokikːɯ
ホワイトクリスマス	hoɰᵝaitokɯɾisɯmasɯ
ホワイトゴールド	hoɰᵝaitogoːɾɯdo
ホワイトシャツ	hoɰᵝaitoɕatsɯ
ホワイトシンドローム	hoɰᵝaitoɕiɴdoɾoːmɯ
ホワイトストライプトピグミーゴビー	hoɰᵝaitosɯtoɾaipɯtopigɯmiːgobiː
ホワイトスペース	hoɰᵝaitosɯpeːsɯ
ホワイトスポッティドスパインフット	hoɰᵝaitosɯpotːeidosɯpaiɴɸɯtːo
ホワイトスポッティド・スパインフット	hoɰᵝaitosɯpotːeido sɯpaiɴɸɯtːo
ホワイトスポットダムゼルフィッシュ	hoɰᵝaitosɯpotːodamɯzeɾɯɸiɕːɯ
ホワイトスレイブリ	hoɰᵝaitosɯɾeibɯɾi
ホワイトソース	hoɰᵝaitosoːsɯ
ホワイトタイ	hoɰᵝaitotai
ホワイトチップリーフシャーク	hoɰᵝaitotɕipːɯɾiːɸɯɕaːkɯ
ホワイトチップ・リーフ・シャーク	hoɰᵝaitotɕipːɯ ɾiːɸɯ ɕaːkɯ
ホワイトチョコレート	hoɰᵝaitotɕokoɾeːto
ホワイトチークシャーク	hoɰᵝaitotɕiːkɯɕaːkɯ
ホワイトチーク・シャーク	hoɰᵝaitotɕiːkɯ ɕaːkɯ
ホワイトティップバタフライフィッシュ	hoɰᵝaitoteipːɯbataɸɯɾaiɸiɕːɯ
ホワイトテールドサージョンフィッシュ	hoɰᵝaitoteːɾɯdosaːdʑoɴɸiɕːɯ
ホワイトテールメージャー	hoɰᵝaitoteːɾɯmeːdʑaː
ホワイトデイ	hoɰᵝaitodei
ホワイトデー	hoɰᵝaitodeː
ホワイトニング	hoɰᵝaitoniɴgɯ
ホワイトノイズ	hoɰᵝaitonoizɯ
ホワイトハウス	hoɰᵝaitohaɯsɯ
ホワイトバックラッシュ	hoɰᵝaitobakːɯɾaɕːɯ
ホワイトバランス	hoɰᵝaitobaɾaɴsɯ
ホワイトバーサージャンフィッシュ	hoɰᵝaitobaːsaːdʑaɴɸiɕːɯ
ホワイトバーサージョンフィッシュ	hoɰᵝaitobaːsaːdʑoɴɸiɕːɯ
ホワイトビネガー	hoɰᵝaitobinegaː
ホワイトフィッシュ	hoɰᵝaitoɸiɕːɯ
ホワイトフィンサージャンフィッシュ	hoɰᵝaitoɸiɴsaːdʑaɴɸiɕːɯ
ホワイトフィンサージョンフィッシュ	hoɰᵝaitoɸiɴsaːdʑoɴɸiɕːɯ
ホワイトフィンハンマーヘッド	hoɰᵝaitoɸiɴhaɴmaːhedːo
ホワイトフィン・ハンマーヘッド	hoɰᵝaitoɸiɴ haɴmaːhedːo
ホワイトフェイスバタフライフィッシュ	hoɰᵝaitoɸɯeisɯbataɸɯɾaiɸiɕːɯ
ホワイトブリム	hoɰᵝaitobɯɾimɯ
ホワイトブレッド	hovaitobureddo
ホワイトペッパー	hoɰᵝaitopepːaː
ホワイトページ	hoɰᵝaitopeːdʑi
ホワイトペーパー	hoɰᵝaitopeːpaː
ホワイトホール	hoɰᵝaitohoːɾɯ
ホワイトボックス	hoɰᵝaitobokːɯsɯ
ホワイトボード	hoɰᵝaitoboːdo
ホワイトミート	hoɰᵝaitomiːto
ホワイトメタル	hoɰᵝaitometaɾɯ
ホワイトリカー	hoɰᵝaitoɾikaː
ホワイトリスト	hoɰᵝaitoɾisɯto
ホワイトレイズサージャント	hoɰᵝaitoɾeizɯsaːdʑaɴto
ホワイトヴィネガー	hoɰᵝaitovinegaː
ホワイト・アスパラガス	hoɰᵝaito asɯpaɾagasɯ
ホワイト・キック	hoɰᵝaito kikːɯ
ホワイト・クリスマス	hoɰᵝaito kɯɾisɯmasɯ
ホワイト・ゴールド	hoɰᵝaito goːɾɯdo
ホワイト・シャツ	hoɰᵝaito ɕatsɯ
ホワイト・シンドローム	hoɰᵝaito ɕiɴdoɾoːmɯ
ホワイト・スペース	hoɰᵝaito sɯpeːsɯ
ホワイト・スレイブリ	hoɰᵝaito sɯɾeibɯɾi
ホワイト・ソース	hoɰᵝaito soːsɯ
ホワイト・タイ	hoɰᵝaito tai
ホワイト・チョコレート	hoɰᵝaito tɕokoɾeːto
ホワイト・デイ	hoɰᵝaito dei
ホワイト・デー	hoɰᵝaito deː
ホワイト・ノイズ	hoɰᵝaito noizɯ
ホワイト・ハウス	hoɰᵝaito haɯsɯ
ホワイト・バックラッシュ	hoɰᵝaito bakːɯɾaɕːɯ
ホワイト・バランス	hoɰᵝaito baɾaɴsɯ
ホワイト・ビネガー	hoɰᵝaito binegaː
ホワイト・ブリム	hoɰᵝaito bɯɾimɯ
ホワイト・ペッパー	hoɰᵝaito pepːaː
ホワイト・ページ	hoɰᵝaito peːdʑi
ホワイト・ペーパー	hoɰᵝaito peːpaː
ホワイト・ホール	hoɰᵝaito hoːɾɯ
ホワイト・ミート	hoɰᵝaito miːto
ホワイト・メタル	hoɰᵝaito metaɾɯ
ホワイト・リカー	hoɰᵝaito ɾikaː
ホワイト・リスト	hoɰᵝaito ɾisɯto
ホワイド	hoɰᵝaido
ホワンチュウ	hoɰᵝaɴtɕɯɯ
ホワンチュー	hoɰᵝaɴtɕɯː
ホン	hoɴ
ホンキートンク	hoɴkiːtoɴkɯ
ホンコン	hoɴkoɴ
ホンコンかぜ	hoɴkoɴkaze
ホンコンシャツ	hoɴkoɴɕatsɯ
ホンコン・シャツ	hoɴkoɴ ɕatsɯ
ホンシメジ	hoɴɕimedʑi
ホンシャクナゲ	hoɴɕakɯnage
ホンシャクナゲ	oɴɕakɯnage
ホンジェラス	hoɴdʑeɾaːsɯ
ホンジェラス	hoɴdʑieɾasɯ
ホンジュラス	hoɴdʑɯɾasɯ
ホンジュラス共和国	hoɴdʑɯɾasɯkjoɯɰᵝakokɯ
ホンソメワケベラ	hoɴsome vake beɾa
ホンソメワケベラ	hoɴsomeɰᵝakebeɾa
ホンダ	hondadʑi
ホンダワラ	hoɴdaɰᵝaɾa
ホンチャン	hoɴtɕaɴ
ホントに	hoɴtoni
ホントウに	hoɴtoɯni
ホントーに	hoɴtoːni
ホンビノスガイ	hoɴbi nosɯgai
ホンビノスガイ	hoɴbinosɯgai
ホンブルグ	hoɴbɯɾɯgɯ
ホンプキンスさんは	honpukinsu sanva
ホンマ	hoɴma
ホンマグロ	hoɴmagɯɾo
ホンミミヒミズ	hoɴmimiçimizɯ
ホンモロコ	hoɴmoɾoko
ホンワカ	hoɴɰᵝaka
ホヴァークラフト	hovaːkɯɾaɸɯto
ホー	hoː
ホーア	hoːa
ホーキング放射	hoːkiɴgɯhoɯɕa
ホーキング放射	hoːkiɴgɯhoːɕa
ホーキング輻射	hoːkiɴgɯɸɯkɯ ɕa
ホーク	hoːkɯ
ホーサ	hoːsa
ホーサー	hoːsaː
ホーザ	hoːza
ホーザー	hoːzaː
ホース	hoːsɯ
ホースアウト	hoːsɯaɯto
ホースカラータイプ	hoːsɯkaɾaːtaipɯ
ホースパワー	hoːsɯpaɰᵝaː
ホースフェイスユニコーンフィッシュ	hoːsɯɸɯeisɯjɯnikoːɴɸiɕːɯ
ホースフェイスローチ	hoːsɯɸɯeisɯɾoːtɕi
ホースフェイス・ユニコーンフィッシュ	hoːsɯɸɯeisɯ jɯnikoːɴɸiɕːɯ
ホースフェイス・ローチ	hoːsɯɸɯeisɯ ɾoːtɕi
ホースラディッシュ	hoːsɯɾadeiɕːɯ
ホースレース	hoːsɯɾeːsɯ
ホース・レース	hoːsɯ ɾeːsɯ
ホーソン実験	hoːsoɴdʑikːeɴ
ホーデン	hoːdeɴ
ホーニング	hoːniɴgɯ
ホーネット	hoːnetːo
ホーハイ節	hoːhaibɯɕi
ホーバークラフト	hoːbaːkɯɾaɸɯto
ホーブ	hoːbɯ
ホープ	hoːpɯ
ホーボー	hoːboː
ホーマー	hoːmaː
ホーミング	hoːmiɴgɯ
ホーミング魚雷	hoːmiɴgɯgjoɾai
ホーム	fɔːm
ホーム	hoːmɯ
ホームから線路に向かって突き出した屋根の向こう側に視線を遮る壁は無く	hoːmu kara rosenn imukatte tsukidaɕita ɪane no mukoː gava ni ɕisen o saegiru kabeva naku
ホームアドレス	hoːmɯadoɾesɯ
ホームアンドアウェー	hoːmɯaɴdoaɯeː
ホームアンドアウエー	hoːmɯaɴdoaɯeː
ホームイン	hoːmɯiɴ
ホームインプルーブメント	hoːmɯiɴpɯɾɯːbɯmeɴto
ホームウエア	hoːmɯɯea
ホームエコノミックス	hoːmɯekonomikːɯsɯ
ホームエステ	hoːmɯesɯte
ホームエレクトロニクス	hoːmɯeɾekɯtoɾonikɯsɯ
ホームオートメーション	hoːmɯoːtomeːɕoɴ
ホームクッキング	hoːmɯkɯkːiɴgɯ
ホームグラウンド	hoːmɯgɯɾaɯɴdo
ホームグランド	hoːmɯgɯɾaɴdo
ホームゲーム	hoːmɯgeːmɯ
ホームコメディ	hoːmɯkomedei
ホームコメディー	hoːmɯkomedeiː
ホームコンピューティング	hoːmɯkoɴpjɯːteiɴgɯ
ホームシック	hoːmuːkɯkːɯ
ホームシック	hoːmɯsikːɯ
ホームシック	hoːmɯɕikːɯ
ホームショッピング	hoːmɯɕopːiɴgɯ
ホームスクーリング	hoːmɯsɯkɯːɾiɴgɯ
ホームスクール	hoːmɯsɯkɯːɾɯ
ホームスチール	hoːmɯsɯtɕiːɾɯ
ホームスチール	hɯːmɯsɯtɕiːɾɯ
ホームステイ	hoːmɯsɯtei
ホームステイ先	hoːmɯsɯteːsaki
ホームストレッチ	hoːmɯsɯtoɾetɕːi
ホームストレート	hoːmɯsɯtoɾeːto
ホームスパン	hoːmɯsɯpaɴ
ホームズ	hoːmɯzɯ
ホームセキュリティーシステム	hoːmɯsekjɯɾiteiːɕisɯtemɯ
ホームセンター	hoːmɯseɴtaː
ホームセンター	hoːmːseɴtaː
ホームタウン	hoːmɯtaɯɴ
ホームタウンディシジョン	hoːmɯtaɯɴdeiɕidʑoɴ
ホームタウンデシジョン	hoːmɯtaɯɴdeɕidʑoɴ
ホームタウン・ディシジョン	hoːmɯtaɯɴ deiɕidʑoɴ
ホームタウン・デシジョン	hoːmɯtaɯɴ deɕidʑoɴ
ホームターミナル	hoːmɯtaːminaɾɯ
ホームチーム	hoːmɯtɕiːmɯ
ホームティーチャー	hoːmɯteiːtɕaː
ホームテレホン	hoːmɯteɾehoɴ
ホームディレクトリ	hoːmɯdeiɾekɯtoɾi
ホームトレーディング	hoːmɯtoɾeːdeiɴgɯ
ホームトレード	hoːmɯtoɾeːdo
ホームドクター	hoːmɯdokɯtaː
ホームドラマ	hoːmɯdoɾama
ホームドレス	hoːmɯdoɾesɯ
ホームバンキング	hoːmɯbaɴkiɴgɯ
ホームバー	hoːmɯbaː
ホームパーティー	hoːm puːtiː
ホームパーティー	hoːmɯpaːteiː
ホームフリージング	hoːmɯɸɯɾiːdʑiɴgɯ
ホームプレート	hoːmɯpɯɾeːto
ホームヘルパー	hoːm hɛlpaː
ホームヘルパー	hoːmɯheɾɯpaː
ホームベーカリー	hoːmɯbeːkaɾiː
ホームベース	hoːmɯbeːsɯ
ホームページ	hoːmɯpeidʑi
ホームページ	hoːmɯpeːdʑi
ホームポジション	hoːmɯpodʑiɕoɴ
ホームマシン	hoːmɯmaɕiɴ
ホームムービー	hoːmɯmɯːbiː
ホームメイド	hoːmɯmeido
ホームメーカー	hoːmɯmeːkaː
ホームメード	hoːmɯmeːdo
ホームユーザ	hoːmɯjɯːza
ホームユーザー	hoːmɯjɯːzaː
ホームユース	hoːmɯjɯːsɯ
ホームラン	hoːmɯɾaɴ
ホームランダービー	hoːmɯɾaɴdaːbiː
ホームラン王になる	hoːmɯ laːɴoɯninaɾɯ
ホームラン級の打球を取ることができる	hoːmuran kjuː no dakjuː o toru koto ga dekiru
ホームリザベーション	hoːmɯɾizabeːɕoɴ
ホームルーム	hoːmɯɾɯːmɯ
ホームレス	hoːmɯɾesɯ
ホームロイヤー	hoːmɯɾoijaː
ホームワーク	hoːmɯɰᵝaːkɯ
ホーム・アドレス	hoːmɯ adoɾesɯ
ホーム・イン	hoːmɯ iɴ
ホーム・インプルーブメント	hoːmɯ iɴpɯɾɯːbɯmeɴto
ホーム・ウエア	hoːmɯ ɯea
ホーム・エコノミックス	hoːmɯ ekonomikːɯsɯ
ホーム・エステ	hoːmɯ esɯte
ホーム・エレクトロニクス	hoːmɯ eɾekɯtoɾonikɯsɯ
ホーム・オートメーション	hoːmɯ oːtomeːɕoɴ
ホーム・クッキング	hoːmɯ kɯkːiɴgɯ
ホーム・グランド	hoːmɯ gɯɾaɴdo
ホーム・ゲーム	hoːmɯ geːmɯ
ホーム・コメディ	hoːmɯ komedei
ホーム・コメディー	hoːmɯ komedeiː
ホーム・コンピューティング	hoːmɯ koɴpjɯːteiɴgɯ
ホーム・ショッピング	hoːmɯ ɕopːiɴgɯ
ホーム・スクーリング	hoːmɯ sɯkɯːɾiɴgɯ
ホーム・スクール	hoːmɯ sɯkɯːɾɯ
ホーム・スチール	hoːmɯ sɯtɕiːɾɯ
ホーム・ストレート	hoːmɯ sɯtoɾeːto
ホーム・セキュリティー・システム	hoːmɯ sekjɯɾiteiː ɕisɯtemɯ
ホーム・センター	hoːmɯ seɴtaː
ホーム・ターミナル	hoːmɯ taːminaɾɯ
ホーム・チーム	hoːmɯ tɕiːmɯ
ホーム・ティーチャー	hoːmɯ teiːtɕaː
ホーム・テレホン	hoːmɯ teɾehoɴ
ホーム・トレーディング	hoːmɯ toɾeːdeiɴgɯ
ホーム・トレード	hoːmɯ toɾeːdo
ホーム・ドクター	hoːmɯ dokɯtaː
ホーム・ドラマ	hoːmɯ doɾama
ホーム・ドレス	hoːmɯ doɾesɯ
ホーム・バンキング	hoːmɯ baɴkiɴgɯ
ホーム・バー	hoːmɯ baː
ホーム・パーティー	hoːmɯ paːteiː
ホーム・フリージング	hoːmɯ ɸɯɾiːdʑiɴgɯ
ホーム・プレート	hoːmɯ pɯɾeːto
ホーム・ヘルパー	hoːmɯ heɾɯpaː
ホーム・ベーカリー	hoːmɯ beːkaɾiː
ホーム・ベース	hoːmɯ beːsɯ
ホーム・ページ	hoːmɯ peːdʑi
ホーム・ポジション	hoːmɯ podʑiɕoɴ
ホーム・マシン	hoːmɯ maɕiɴ
ホーム・ムービー	hoːmɯ mɯːbiː
ホーム・ユーザ	hoːmɯ jɯːza
ホーム・ユーザー	hoːmɯ jɯːzaː
ホーム・ユース	hoːmɯ jɯːsɯ
ホーム・ラン	hoːmɯ ɾaɴ
ホーム・ラン・ダービー	hoːmɯ ɾaɴ daːbiː
ホーム・リザベーション	hoːmɯ ɾizabeːɕoɴ
ホーム・ロイヤー	hoːmɯ ɾoijaː
ホーム位置	hoːmɯitɕi
ホーム傾斜注意	hoːmɯkeːɕatɕɯɯ i
ホーリズム	hoːɾizɯmɯ
ホーリー	hoːɾiː
ホール	hoːrɯ
ホール	hoːɾɯ
ホールをきれいに掃除しておかなければならない	hoːru o kireː ni soːdʑi ɕite okanakereba naranai
ホールアウト	hoːɾɯaɯto
ホールインワン	hoːɾɯiɴɰᵝaɴ
ホールスタッフ	hoːɾɯsɯta fɯ
ホールスタッフ	hoːɾɯsɯtaɸːɯ
ホールセラー	hoːɾɯseɾaː
ホールセーラー	hoːɾɯseːɾaː
ホールセール	hoːɾɯseːɾɯ
ホールセール	hoːɾɯseːːlɯ
ホールター	hoːɾɯtaː
ホールターネック	hoːɾɯtaːnekːɯ
ホールダー	hoːɾɯdaː
ホールディング	hoːɾɯdeiɴgɯ
ホールディングス	hoːɾɯdeiɴgɯsɯ
ホールトマト	hoːɾɯtomato
ホールド	hoːɾɯdo
ホールドアップ	hoːɾɯdoapːɯ
ホールドタイム	hoːɾɯdotaimɯ
ホールド・アップ	hoːɾɯdo apːɯ
ホールド・タイム	hoːɾɯdo taimɯ
ホールド時間	hoːɾɯdodʑikaɴ
ホールピペット	hoːɾɯkipetːo
ホールピペット	hoːɾɯpipetːo
ホールホイートブレッド	hoːɾɯhoiːtobɯɾedːo
ホール・アウト	hoːɾɯ aɯto
ホール・イン・ワン	hoːɾɯ iɴ ɰᵝaɴ
ホール・スタッフ	hoːɾɯ sɯtaɸːɯ
ホール・トマト	hoːɾɯ tomato
ホール・ピペット	hoːɾɯ pipetːo
ホール効果	hoːɾɯkoɯka
ホーロー	hoːɾoː
ホーローウェア	hoːɾoːɯea
ホーン	hoːɴ
ホーンシャーク	hoːɴɕaːkɯ
ホーン・シャーク	hoːɴ ɕaːkɯ
ホーン節	hoːɴsetsɯ
ホ短調	hotaɴtɕoɯ
ホ調	hotɕoɯ
ホ長調	hotɕoɯtɕoɯ
ボ	bo
ボ	pˈɔ
ボア	boa
ボアコンストリクター	boakoɴsɯtoɾikɯtaː
ボア・コンストリクター	boa koɴsɯtoɾikɯtaː
ボアーハウンド	boaːhaɯɴdo
ボイ	bɔj
ボイエジャ	boiedʑa
ボイオーティアと	boioːtia to
ボイオーティア平原の南端にあたる	boioːtia heːgen no nantan ni ataru
ボイコット	boikotːo
ボイコット	boikoːtːo
ボイジャー	boidʑaː
ボイス	boisɯ
ボイス	boɯisɯ
ボイスコーデック	boisɯkoːdekːɯ
ボイストレーナー	boisɯtoɾeːnaː
ボイストレーニング	boisɯtoɾeːniɴgɯ
ボイスバロットの法則	boisɯbaɾotːonohoɯsokɯ
ボイスメイル	boisɯmeiɾɯ
ボイスメッセージ	boisɯmesːeːdʑi
ボイスメッセージング	boisɯmesːeːdʑiɴgɯ
ボイスメール	boisɯmeːɾɯ
ボイスメール	bo̞isɯneː ɾɯ
ボイスメールボックス	boisɯmeːɾɯbokːɯsɯ
ボイスレコーダー	boisɯɾekoːdaː
ボイスレコーダー	bo̞isɯɾekoːdazɯ
ボイス・コーデック	boisɯ koːdekːɯ
ボイス・トレーナー	boisɯ toɾeːnaː
ボイス・トレーニング	boisɯ toɾeːniɴgɯ
ボイス・メイル	boisɯ meiɾɯ
ボイス・メッセージ	boisɯ mesːeːdʑi
ボイス・メッセージング	boisɯ mesːeːdʑiɴgɯ
ボイス・メール	boisɯ meːɾɯ
ボイス・メール・ボックス	boisɯ meːɾɯ bokːɯsɯ
ボイス・レコーダー	boisɯ ɾekoːdaː
ボイップ	boipːɯ
ボイド	boido
ボイド管	boidokaɴ
ボイヤンシーコントロールデバイス	boijaɴɕiːkoɴtoɾoːɾɯdebaisɯ
ボイヤンシーコントロール・デバイス	boijaɴɕiːkoɴtoɾoːɾɯ debaisɯ
ボイヤー	boijaː
ボイラ	boiɾa
ボイラプレート	boiɾapɯɾeːto
ボイラー	boiɾaː
ボイラー	sutoːbu
ボイラーマン	boiɾaːmaɴ
ボイリング	boiɾiɴgɯ
ボイル	boiɾɯ
ボイルの法則	boiɾɯnohoɯsokɯ
ボイルシャルルの法則	boiɾɯɕaɾɯɾɯnohoɯsokɯ
